==== Start of Transcript: Personal Brand Coaching Week 6 ====

Coaching Week 6 - Brand Focus Group

[00:00:02] Sue Bryce | Start your dancing. I do my dancing before.
[01:29:39] Sue Bryce | If you

[01:29:39] Chatroom Host | are a luxury brand, would you only do this with other luxury brands?

[01:29:45] Sue Bryce | Sally's not a luxury brand. Sally's now running the WPPI, but she's the first person I would put at that table for her knowledge base. Somebody who has an extraordinary knowledge base on networking or marketing, It's gonna give you maybe more feedback than somebody else. So choose your players wisely. And then also, there has to be really good questions that you're asking, the people that are coming What do you see as what what most feedback can you do for me?

[01:30:16] Sue Bryce | Like, what where do you feel that you can most help me as a panel? And what clarity are you most looking for as a hot seat? For this panel because you're actually gonna give the hot seat your questions. It's what you need clarity on. So you write the questions for yourself.

[01:30:35] Sue Bryce | Yeah. Very cool. This is gonna be such a fun, interesting thing to do. Alright, guys. Thank you very much.

[01:30:51] Sue Bryce | We'll see you next week, next Thursday. I do hope to have Jen back. Sorry for the ugly keynote. So I will get you the ugly keynote with the questions and with the chat survey too, because it's really mind blowing. And I want you to start using chat more to help you with your copy, and I want you to start building a focus group around you.

[01:31:12] Sue Bryce | You know, a lot of you have that one person that they can bounce off that usually in a similar industry, you know, or the same industry, they have that one person that can really understand them, start there, and say if we were to create a third person, who would that be? And, truly, I wanna see what comes out of this because it is the weirdest thing that you you don't know who you are until somebody tells you, and then you're like, Wow. You don't know how good you are? And you don't know what you know until you go to teach it. And every time I see you guys get stuck, I ask myself, I got stuck.

[01:31:59] Sue Bryce | How did I get unstuck? And then as soon as I write out that solution of how I did it, And then how I saw other people do it, and then how other people tried different things that didn't work and did work. And and then I give you a few options to go forward, I can solve your problem every single time. So it's like, it's incredible when people speak back to you, and they're telling you everything that you are, you're just going to sit there and think this whole time, I was walking around acting like I was not special. And turns out the whole time I am.

[01:32:41] Sue Bryce | Alright. Go make magic.

==== End of Transcript: Personal Brand Coaching Week 6 ====
